Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,Descent of Testis,,Anatomy,Embryology,A boy presents with an undescended testis on one side and a history of inguinal hernia. Which structure is most likely involved in both conditions?,Gubernaculum,Epididymis,Vas deferens,Spermatic cord,None of them,E,"The Processus Vaginalis is an evagination of the peritoneum that precedes the descending testis into the scrotum, forming the inner lining of the inguinal canal. Normally, this structure closes. If it fails to close (a Patent Processus Vaginalis), it provides the pathway for abdominal contents (intestine) to herniate into the inguinal canal and scrotum, leading to a Congenital Indirect Inguinal Hernia. If the testis fails to descend (Cryptorchidism), it is often still within the patent Processus Vaginalis tract, making the two conditions frequently associated."
,,Mullerian Anomalies,,Anatomy,Embryology,A girl came with primary amenorrhea. On USG bicornuate uterus. What abnormality led to this?,Failure of fusion of paramesonephric duct,Failure of fusion of mesonephric duct,Abnormal division of wolfian duct,Abnormal enlargement of tubules,None of them,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>A <b>Bicornuate Uterus</b> results from the <b>Incomplete Fusion</b> of the paired <b>Paramesonephric (Müllerian) Ducts</b> during embryogenesis."
,,Cleft Lip/Palate,,Anatomy,Embryology,A newborn baby is noted to have a left unilateral cleft lip. There are no abnormalities of the baby's palate. Which of the following developmental defects accounts for this occurrence?,Failure of the left lateral palatine process to fuse with the median palatine process,Failure of the left maxillary prominence to unite with the left medial nasal prominence,Failure of the right and left medial nasal prominences to merge,Failure of the left maxillary process to fuse with the left medial nasal process,None of them,D,Mid line cleft lip is failure of fusion of two medial nasal processes. Unilateral cleft lip failure of fusion of median nasal process with maxillary process. Cleft palate failure of fusion of lateral palatine process nasal septum and median palatine process
,,Abdominal Wall Defects,,Anatomy,Embryology,A newborn has a congenital abdominal wall defect with herniation of abdominal contents covered by a thin membrane at the base of the umbilical cord. What is the most likely diagnosis?,Omphalocele,Gastroschisis,Umbilical hernia,Diaphragmatic hernia,Meckel's diverticulum,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br><b>Omphalocele</b> is a midline abdominal wall defect where viscera herniate through the umbilical ring <b>Covered by a Membrane</b> (Peritoneum + Amnion).<br><br><b>Option B:</b> Gastroschisis is a defect (usually right-sided) with <i>no</i> membrane covering the bowel."
,,Limb Development,,Anatomy,Embryology,"A newborn is born with severely underdeveloped or rudimentary limbs, resembling flipper like appendages, which of the following condition by which the newborn is suffering from?",Phocomelia,Amelia,Meromelia,Hemimelia,None of them,A,
,,Neural Tube Defects,,Anatomy,Embryology,A newborn is delivered at 35 weeks gestation with absence of most of the brain and skull above the orbits. Prenatal ultrasound had shown polyhydramnios. Failure of closure of which embryologic structure is responsible for this defect?,Posterior neuropore,Anterior neuropore,Neural crest migration,Lateral body folds,Primitive streak,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br><b>Anencephaly</b> (absence of the calvaria and brain) results from the failure of the <b>Anterior Neuropore</b> to close during the 4th week of development. Polyhydramnios occurs because the fetus lacks the swallowing reflex center.<br><br><b>Option A:</b> Failure of the <i>Posterior</i> neuropore to close results in Spina Bifida (myelomeningocele)."
,,Heart Defects,,Anatomy,Embryology,A newborn is diagnosed with transposition of the great arteries (TGA). Which of the following describes the anatomic abnormality in this condition?,Aorta arises from right ventricle and pulmonary artery from left ventricle,Aorta and pulmonary artery are both connected to the left ventricle,Both great arteries arise from the right ventricle,Pulmonary artery arises from right atrium,Aorta arises from left atrium and pulmonary artery from right ventricle,A,
,,Thyroglossal Duct,,Anatomy,Embryology,A patient has a midline neck swelling along the path from the foramen cecum to the hyoid bone. What structure forms this swelling?,Thyroglossal duct,Thyroglossal diverticulum,Branchial cyst,Median cervical cyst,None of them,A,"Thyroglossal duct cyst: Midline, moves with swallowing/tongue protrusion."
,,Limb Development,,Anatomy,Embryology,Absence of limb is due to mal development of which of these?,Somites,Lateral plate mesoderm,Cushions,Ectoderm,None of them,B,
,,Mullerian Anomalies,,Anatomy,Embryology,An 18 Years old girl with bicornuate uterus is most likely due to which of the following abnormality:,Defect of mesonephric duct,Failure of fusion of Paramesonephric ducts,Abnormal division of mesonephric duct,Defect of tubule,Defect of wolfian duct,B,"Paramesonephric duct (Mullerian Duct) give raise to female genital structures like Fallopian tube, Uterus & upper 1/3rd of Vagina"
,,Mullerian Anomalies,,Anatomy,Embryology,An 18-year-old girl with a bicornuate uterus is most likely due to which of the following abnormalities?,Defect of mesonephric duct,Failure of fusion of paramesonephric ducts,Abnormal division of mesonephric duct,Defect of tubule,Defect of Wolffian duct,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 
 The uterus, fallopian tubes, and upper vagina are formed by the fusion of the paramesonephric (Mullerian) ducts. Failure of this fusion results in a bicornuate uterus.
 
 
 <b>Option A:</b> The mesonephric (Wolffian) duct degenerates in females and forms male genital structures.
 
 
 <b>Option C:</b> This is a fusion defect, not a division defect.
 
 
 <b>Option D:</b> ""Defect of tubule"" is a non-specific distractor.
 
 
 <b>Option E:</b> The Wolffian duct is synonymous with the mesonephric duct (see Option A)."
,,Diaphragmatic Hernia,,Anatomy,Embryology,"An 8-month-old baby presented with complaints of dyspnea on lying down. On examination, decreased breath sounds on the left. X-ray showed intestinal loops on the left side of the thorax. One of the characteristic findings of this condition is:",Dextrocardia,Hiatal hernia,Absence of lung,Patent pleuro-peritoneal membrane canal,None,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span>
 
 This is a **Congenital Diaphragmatic Hernia** (CDH), usually on the left side (Bochdalek hernia). It results from the failure of the **Pleuro-peritoneal membrane** to close the pericardioperitoneal canal, allowing abdominal contents (intestines) to herniate into the thorax.
 
 <b>Option B:</b> Hiatal hernia is herniation through the esophageal hiatus.
 
 <b>Option C:</b> The lung is **Hypoplastic** (underdeveloped), not typically completely absent (Agenesis), though the distinction is fine, D is the embryological mechanism."
,,Somite Differentiation,,Anatomy,Embryology,"An experiment was conducted on mice to analyze sclerotome development, involving somites, somitomeres, and epimeres. The experiment led to the destruction of specific cells. If the mice survive until birth, which muscle will be absent due to its failure to derive from the somite?",Latissimus dorsi,Rhomboid,Serratus anterior,Longissimus,Pectoralis Major,D,
,,Midgut Rotation,,Anatomy,Embryology,At which week of embryonic development does the herniated intestinal loop return to the abdominal cavity?,6th to 10week,8th to 12 week,10th to 14week,After 12th week,None of them,A,
,,Pharyngeal Arches,,Anatomy,Embryology,Ductus arteriosus is derivative of which of the following arch?,1st arch,3rd arch,2nd arch,4th arch,6th arch,E,Left 6th arch forms the Left pulmonary artery and ductus arteriosus.
,,Diaphragm Development,,Anatomy,Embryology,"During embryonic development, which structure gives rise to the central tendon of the diaphragm?",Pleuroperitoneal folds,Septum transversum,Dorsal mesentery,Lateral body wall musculature,Cervical myotomes,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>The <b>Septum Transversum</b> is the embryonic structure that forms the <b>Central Tendon</b> of the diaphragm.<br><br><b>Option A:</b> Pleuroperitoneal folds form the posterior parts of the diaphragm (defects here cause Bochdalek hernia).<br><b>Option D:</b> Lateral body wall forms the muscular periphery."
,,Heart Development,,Anatomy,Embryology,"During fetal cardiac screening, a murmur prompts evaluation. The baby is found to have a defect in neural crest migration affecting conotruncal septation. Which defect is expected?",ASD,Aortic stenosis,Membranous VSD,Mitral atresia,None of them,C,"Neural crest defects classically cause: Membranous VSD, Tetralogy of Fallot, Persistent truncus arteriosus, Transposition of great arteries."
,,Abdominal Wall Defects,,Anatomy,Embryology,Failure of abdominal contents to return into the abdominal cavity during fetal development results in:,Omphalocele,Gastroschisis,Umbilical hernia,Diaphragmatic hernia,Incisional hernia,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br><b>Omphalocele</b> is caused by the failure of the physiological midgut herniation to return to the abdominal cavity by the 10th week. It presents as a midline defect covered by a membrane (amnion/peritoneum).<br><br><b>Option B:</b> Gastroschisis is a paraumbilical wall defect (involution of right umbilical vein) without a covering sac."
,,Cleft Lip/Palate,,Anatomy,Embryology,Failure of fusion of the frontonasal prominence with the maxillary prominence may result in:,Cleft lip,Cleft palate,Micrognathia,Ankyloglossia,None of them,A,
,,Thyroid Development,,Anatomy,Embryology,From which of the following embryonic structures does the thyroid gland primarily develop?,Third Pharyngeal Pouch,Second Branchial Arch,Endoderm of the Primitive Pharynx,Neural Crest Cells,None of them,C,Explanation: The thyroid gland originates as an outpouching of the endoderm of the floor of the primitive pharynx (specifically near the foramen cecum at the base of the developing tongue) and then descends to its final position in the neck.
,,Hirschsprung Disease,,Anatomy,Embryology,Hirschsprung disease (congenital aganglionic megacolon) is caused by the failure of neural crest cells to migrate completely during development. The aganglionic segment always begins at the internal anal sphincter and extends proximally. Which part is affected?,Sigmoid colon,Descending colon,Ileum,Rectum,None of them,B,"(Note: The question text asks ""Which part is affected?"" but the answer key B corresponds to ""Sigmoid colon"" in the printed options on the left, though ""Descending colon"" is printed next to B in the question block. However, Hirschsprung's always involves the rectum and extends proximally. The most common segment is rectosigmoid. Book Answer key is B)."
,,Eye Development,,Anatomy,Embryology,Keyhole defect in the pupil. Embryological defect?,Absence of lens,Optic cup defect,Lens dislocation,Epithelium defect,None of them,B,"Failure of closure of the embryonic fissure (optic cup) causes coloboma, producing a keyhole pupil."
,,Vitelline Duct,,Anatomy,Embryology,"Meckel's diverticulum, the most common congenital anomaly of the small intestine, is a persistent remnant of which embryonic structure?",Urachus,Allantois,Vitelline duct,Septum transversum,None of them,C,"Meckel's diverticulum results from the incomplete obliteration of the vitelline duct (or omphalomesenteric duct), which connects the yolk sac to the midgut."
,,Neural Crest,,Anatomy,Embryology,Neural crest cells arise from which embryological structure during development?,Neural tube,Neural plate,Neural folds,Somites,Notochord,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br><b>Neural Crest Cells</b> arise from the <b>Neural Folds</b> (the edges of the neural plate) as they elevate and fuse to form the neural tube. They then migrate extensively throughout the body."
,,Neural Crest,,Anatomy,Embryology,Neural crest cells contribute to the formation of which of the following structures during cardiac development?,Ventricular myocardium,Endocardial cushions,Atrial septum,Sinoatrial node,Pulmonary veins,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br><b>Cardiac Neural Crest Cells</b> migrate to the heart and are essential for forming the <b>Aorticopulmonary Septum</b> (dividing Truncus Arteriosus) and contribute to the <b>Endocardial Cushions</b> in the outflow tract."
,,Germ Cells,,Anatomy,Embryology,Primordial germ cells are derived from which of the following?,Ectoderm,Endoderm,Mesoderm,Epiblast,Hypoblast,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span><br><b>Primordial Germ Cells (PGCs)</b> originate from the <b>Epiblast</b> during the 2nd week. They migrate to the wall of the Yolk Sac (Endoderm) and eventually to the Genital Ridge.<br><br><b>Note:</b> While they reside temporarily in the yolk sac (endoderm), their <i>origin</i> is the Epiblast. The gonads themselves (stroma) are derived from Mesoderm."
,,Heart Development,,Anatomy,Embryology,Pulmonary trunk derived from:,1st arch,3rd arch,2nd arch,4th arch,6th arch,E,"<span style=""color: #2e7d32""><b>Option E Correct</b></span>
 
 The Proximal Pulmonary Arteries (and Ductus Arteriosus) are derived from the **6th Pharyngeal Arch** arteries. [Note: The Pulmonary Trunk itself is formed by the septation of the Truncus Arteriosus, but in the context of ""Arch Derivatives,"" the pulmonary circulation is always mapped to the 6th arch].
 
 <b>Option B:</b> 3rd arch = Common Carotid/Internal Carotid.
 
 <b>Option D:</b> 4th arch = Aortic Arch (Left) / Subclavian (Right)."
,,Notochord,,Anatomy,Embryology,Remnant of Notochord is,Nucleus pulposus,Ligamentum teres,Medial umbilical ligament,Median umbilical ligament,None of them,A,"The Notochord persists in the adult as the gelatinous center of the intervertebral disc, the nucleus pulposus."
,,Kidney Development,,Anatomy,Embryology,Renal pelvis and calyces develop from:,Mesonephric (Wolffian) duct,Metanephros,Mesonephros,Pronephros,None of them,B,"Metanephros -> definitive kidney -> gives rise to renal pelvis, calyces, collecting ducts. Ureteric bud (from mesonephric duct) induces metanephric blastema."
,,Skeletal Development,,Anatomy,Embryology,Skeletal system derived from:,Mesoderm and neural crest cells,Ectoderm,Mesoderm,Endoderm,Splanchnopleuric mesoderm,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>The skeletal system is derived from <b>Mesoderm</b> (Paraxial/Somites for axial, Lateral Plate for appendicular) and <b>Neural Crest Cells</b> (for craniofacial skeleton)."
,,Sinus Venosus,,Anatomy,Embryology,The coronary sinus is derived from which of the following embryological structure?,Right horn of sinus venosus,Left horn of sinus venosus,Primitive atrium,Bulbous cordis,None of them,B,Fetal postnatal derivatives. Ductus arteriosus – Ligamentum Arteriosum. Ductus venosus – Ligamentum venosum. Left horn of Sinus venosus – Coronary sinus. Foramen ovale– Fossa ovalis. Allantois to urachus – Median umbilical ligament. Umbilical arteries – Medial umbilical ligaments. Umbilical vein – Ligamentum teres hepatis. Notochord – Nucleus pulposus
,,Sinus Venosus,,Anatomy,Embryology,"The coronary sinus, the major vein draining the heart muscle, develops embryologically from which structure?",Right horn of the sinus venosus,Left horn of the sinus venosus,Primitive pulmonary vein,Superior vena cava,None of them,B,The left horn of the sinus venosus loses connection to the cardinal veins and becomes the coronary sinus.
,,Thyroid Development,,Anatomy,Embryology,"The follicular cells of thyroid gland which produce T3 and T4 develop embryologically from a median endodermal thickening in the floor of primitive pharynx, near which structure?",Neural crest cells,Base of tongue,1 branchial arch,Pharynx,None of them,B,"The thyroid gland descends from the floor of the primitive pharynx, originating near the Foramen cecum at the base of the tongue."
,,Mesoderm Derivatives,,Anatomy,Embryology,"The mesenchyme from which bone and connective tissue arise, is primarily derived from which of the following embryonic sources?",Ectoderm,Endoderm,Neural crest,Mesoderm,Surface ectoderm,D,"<span style=""color: #2e7d32""><b>Option D Correct</b></span><br><b>Mesoderm</b> is the primary germ layer responsible for forming the musculoskeletal system, including <b>Bone</b>, <b>Connective Tissue</b>, cartilage, and muscle. <br><br><b>Note:</b> While Neural Crest (Ectoderm) contributes to craniofacial bones, the vast majority of body connective tissue is mesodermal."
,,Notochord,,Anatomy,Embryology,The notochord is remanent of:,Annulus fibrosus,Ligamentum flavum,Nucleus pulposus,Vertebral body,Spinous process,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br>The embryonic <b>Notochord</b> regresses almost entirely, but a remnant persists in the adult as the <b>Nucleus Pulposus</b> (the inner jelly-like core) of the Intervertebral Disc.<br><br><b>Option A:</b> Annulus fibrosis is derived from sclerotome (mesoderm)."
,,Germ Cells,,Anatomy,Embryology,The primordial germ cells are derived from?,Ectoderm,Epiblast,Endoderm,Mesoderm,Neural crest cell,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 Primordial Germ Cells (PGCs) originate from the **Epiblast** during the 2nd week. They migrate to the wall of the Yolk Sac (Endoderm) and then to the Genital Ridge. While they reside in the yolk sac transiently, their fundamental origin is the Epiblast.
 
 <b>Option C:</b> They are visible in the yolk sac (endoderm) early on, but derived from epiblast."
,,Oogenesis,,Anatomy,Embryology,When does a primary oocyte resume its first meiotic division?,During intrauterine life,At birth,At menarche,At fertilization,Just before ovulation,E,"<span style=""color: #2e7d32""><b>Option E Correct</b></span>
 
 Primary oocytes are arrested in Prophase I during fetal life. They resume Meiosis I only at puberty, specifically **just before ovulation** in response to the LH surge. They complete Meiosis I to become a Secondary Oocyte and the First Polar Body.
 
 <b>Option D:</b> The *Secondary* Oocyte completes Meiosis II at fertilization."
,,Tongue Development,,Anatomy,Embryology,Which of the following embryological structures first appears at the base of the tongue and anteriorly in development?,Thyroglossal duct,Thyroglossal diverticulum,Pharyngeal pouch,Branchial cyst,None,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 The Thyroid gland development begins as a thickening of endoderm called the Thyroid Diverticulum at the foramen cecum (base of the tongue). It then descends via the Thyroglossal duct.
 
 <b>Option A:</b> The duct is formed by the elongation of the diverticulum.
 
 <b>Option C:</b> Pharyngeal pouches are lateral structures.
 
 <b>Option D:</b> Branchial cysts are remnants of the cervical sinus (lateral neck)."
,,Pharyngeal Arches,,Anatomy,Embryology,Which of the following embryological structures primarily gives rise to most facial bones and connective tissue of the scalp?,Paraxial mesoderm,Neural crest cells,Surface ectoderm,Endoderm,Intermediate mesoderm,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br><b>Neural Crest Cells</b> migrate to the pharyngeal arches and form the ""Face"" (Facial bones like mandible/maxilla, and connective tissue).<br><br><b>Option A:</b> Paraxial mesoderm forms the posterior skull (parietal/occipital) and skeletal muscles."
,,Neuroectoderm,,Anatomy,Embryology,Which structure is derived from Neuroectoderm?,Ciliary epithelium,Corneal epithelium,Trabecular meshwork,Iris,Superior Rectus,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span>
 
 The Neuroectoderm (Optic Cup) gives rise to the Epithelium of the iris and Ciliary body, Retina, Sphincter, and Dilator pupillae.
 
 <b>Option B:</b> Corneal epithelium is derived from Surface Ectoderm.
 
 <b>Option C, D:</b> The stroma of the Iris and Trabecular meshwork come from Neural Crest/Mesoderm.
 
 <b>Option E:</b> Extraocular muscles like Superior Rectus are from Mesoderm."
,,,,Anatomy,Embryology,A 2-day-old infant with cyanosis is diagnosed with transposition of the great arteries. Which finding best explains the pathophysiology?,Mitral valve prolapse,Aorta is on the right side of the heart,Aorta overlaps pulmonary artery,Pulmonary artery arises from the left ventricle,,D,SK-22
,,,,Anatomy,Embryology,A ductus arteriosus that remains open after birth is termed which condition?,Fibrosed,Obliterated,Incompetent,Patent,,D,SK-22
,,,,Anatomy,Embryology,"A 12-hour-old newborn with drooling, regurgitation, and excessive crying has a congenital defect in which structure?",Hiatus hernia,Tracheoesophageal septum,Pleuroperitoneal membrane,Ventricular septal defect,,B,SK-22
,,,,Anatomy,Embryology,A newborn has abdominal contents protruding through the umbilicus that are covered by a membranous sac. The intestines failed to return to the abdominal cavity during fetal development; what is the most likely diagnosis?,Meckel's diverticulum,Omphalocele,Gastroschisis,Tonsillitis,,B,SK-22
,,,,Anatomy,Embryology,A patient presents with bilateral undescended testes and a history of inguinal hernia. Which structure is most likely defective?,Thyroid gland,Testicular artery,Spermatic cord,Tunica vaginalis,,D,SK-22
,,,,Anatomy,Embryology,The primitive oral cavity (stomodeum) develops from a depression anterior to the embryonic gut tube that initially lacks an epithelial lining. From which embryonic layer does this structure originate?,Ectoderm,Midgut endoderm,Foregut endoderm,Cardiac mesoderm,,A,SK-22
,,,,Anatomy,Embryology,From which embryonic germ layer do thyroid follicular cells originate?,Mesoderm,Ectoderm,Placenta,Endoderm,,D,SK-22
,,,,Anatomy,Embryology,Which site is the primary location of erythropoiesis during the first trimester of embryonic development?,Yolk sac,Liver,Bone marrow,Kidney,,A,SK-22
,,,,Anatomy,Embryology,From which cellular organelle is the sperm acrosome derived?,Mitochondria,Chloroplast,Golgi apparatus,Lysosome,,C,SK-22
,,,,Anatomy,Embryology,An elevated alpha-fetoprotein (AFP) level is classically associated with failure of closure of which embryonic structure?,Abdominal wall,Palate,Lens,Neural tube,,D,SK-22
,,,,Anatomy,Embryology,A horseshoe kidney fails to ascend normally because it becomes arrested at the level of which arterial structure?,Axillary artery,Aortic bifurcation,Inferior mesenteric artery,Superior mesenteric artery,,C,SK-22
,,,,Anatomy,Embryology,Which structure develops from the metanephros?,Definitive adult kidney structures,Mesonephros,Ureter only,Hepatic lobules,,A,SK-22
,,,,Anatomy,Embryology,Which embryonic layer gives rise to primordial germ cells?,Mesoderm,Epiblast,Trophoblast,Ectoderm,,B,SK-22
,,,,Anatomy,Embryology,A 2-month-old infant with severe dyspnea has a chest x-ray showing absence of the left lung shadow and coiled bowel loops within the left hemithorax. Which embryologic defect explains this finding?,Pleuroperitoneal septum,Foramen ovale,Hiatus hernia,Esophageal hernia,,A,SK-22
,,Lingual Nerve,,Anatomy,Head & Neck,72 year old patient has lost general sensation on the anterior 2/3rd of the tongue due to injury to which nerve?,Facial nerve,Glossopharyngeal nerve,Maxillary nerve,Vagus nerve,Lingual nerve,E,Anterior 2/3 general sensation – Lingual nerve. Anterior 2/3 Taste sensation – Chorda tympani. Posterior 1/3rd Taste sensation – Glossopharyngeal nerve. Posterior most part taste sensation – Vagus
,,Glossopharyngeal Nerve,,Anatomy,Head & Neck,72 years old patient has lost taste sensation on the posterior 1/3rd of the tongue due to injury to which nerve?,Facial nerve,Glossopharyngeal nerve,Maxillary nerve,Trigeminal nerve,Lingual nerve,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>The <b>Glossopharyngeal Nerve (CN IX)</b> supplies Taste and General Sensation to the <b>Posterior 1/3rd</b> of the tongue."
,,Laryngeal Muscles,,Anatomy,Head & Neck,72 years old patient with hoarseness of voice. On indirect laryngoscopy vocal cords not opening. Which muscle is damaged?,Lateral cricoarytenoid,Vocalis,Posterior cricoarytenoid,Medial cricoarytenoid,None of them,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br>The <b>Posterior Cricoarytenoid</b> is the <b>Only Abductor</b> (opener) of the vocal cords. Paralysis prevents opening."
,,Danger Triangle of Face,,Anatomy,Head & Neck,76-year-old patient with nasal furunculosis and eye involvement. Through which vein can infection spread to the orbit?,Ophthalmic vein,Facial vein,Maxillary vein,Mandibular vein,None of them,C,"Infections of the face/nose -> spread to cavernous sinus via valveless veins, including maxillary vein, leading to orbital symptoms."
,,Eustachian Tube,,Anatomy,Head & Neck,"A 10-year-old boy presents with middle ear infection with history of pharyngitis, pathway allow the spread of infection",Internal acoustic meatus,Pharyngeal plexus,Eustachian tube,Cavernous sinus,None of them,C,The Eustachian tube (Pharyngotympanic tube) provides the anatomical connection and direct pathway for infection to spread from the nasopharynx (Pharyngitis) to the middle ear (Otitis Media).
,,Thyroglossal Duct,,Anatomy,Head & Neck,"A 2-year-old child presents with a midline swelling below the hyoid bone, noticed since 3 months of age. The swelling moves with swallowing as well as tongue protrusion. Most likely diagnosis:",Accessory thymic tissue,Branchial cyst,Craniopharyngioma,Ectopic thyroid gland,Thyroglossal duct cyst,E,"<span style=""color: #2e7d32""><b>Option E Correct</b></span><br><b>Thyroglossal Duct Cyst</b> is a congenital midline neck mass. The pathognomonic sign is that it <b>Moves Up with Swallowing</b> AND with <b>Protrusion of the Tongue</b> (due to its attachment to the foramen cecum at the base of the tongue via the duct remnant)."
,,Thyroglossal Duct,,Anatomy,Head & Neck,"A 2-year-old child presents with a midline swelling below the hyoid bone, noticed since 3 months of age. The swelling moves with swallowing as well as tongue protrusion. Most likely diagnosis:...",Accessory thymic tissue...,Branchial cyst...,Craniopharyngioma...,Ectopic thyroid gland...,Thyroglossal duct cyst...,E,Thyroglossal duct cyst moves with swallowing and tongue protrusion.
,,Oculomotor Nerve,,Anatomy,Head & Neck,"A 32-year-old man sustains a blow to the head in a road traffic accident. Examination reveals ptosis, a dilated pupil, and the eye deviated ""down and out"" on the left side. Injury to which of the following skull structures most likely caused his symptoms?",Greater wing of sphenoid,Lesser wing of sphenoid,Superior orbital fissure,Ethmoid bone,Frontal bone,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span><br>The symptoms indicate a <b>CN III (Oculomotor)</b> palsy (Ptosis, Mydriasis, Down-and-Out deviation). CN III enters the orbit through the <b>Superior Orbital Fissure</b>. Trauma to this fissure (Superior Orbital Fissure Syndrome) compresses the nerve.<br><br><b>Option A & B:</b> While the fissure is formed by the gap between the Greater and Lesser wings, the ""Superior Orbital Fissure"" is the specific structure/space indicated by the nerve deficit."
,,Spinal Accessory Nerve,,Anatomy,Head & Neck,"A 35-year old male undergoes a posterior cervical lymph node biopsy for suspected lymphoma, following the procedure which of the following nerve is at risk if injury?",Spinal accessory nerve,Long thoracic nerve,Suprascapular nerve,Dorsal scapular nerve,None of them,A,
,,Nasolacrimal Duct,,Anatomy,Head & Neck,"A 35-year-old man uses an antibiotic eye drop for conjunctivitis. Within seconds, he reports a sour taste in his throat. Which anatomical pathway best explains this finding?",Direct drainage into oropharynx,Direct absorption into bloodstream,Drainage through the nasolacrimal duct into the nose,Passage through the nasopharynx,None of them,C,"Eye drops enter the puncta → canaliculi → lacrimal sac → nasolacrimal duct → inferior meatus of the nose. From the nasal cavity, the fluid reaches the oropharynx, creating the sour/metallic taste."
,,Ear Anatomy,,Anatomy,Head & Neck,A 35-year-old patient presents with ear blockage. Which glands are responsible for wax production in the external auditory canal?,Sebaceous glands,Sweat glands,Ceruminous glands,Apocrine glands,None of them,C,Ceruminous glands (modified apocrine sweat glands) produce cerumen (earwax).
,,Fascial Spaces,,Anatomy,Head & Neck,A 40-year-old man presents with anterior neck swelling and fever following untreated pharyngitis. Imaging reveals spread of infection to the anterior mediastinum. This is most likely due to involvement of which of the following fascial spaces?,Retropharyngeal space,Pretracheal space,Prevertebral space,Carotid sheath,Submandibular space,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span><br>The <b>Pretracheal Space</b> lies anterior to the trachea and extends inferiorly into the <b>Anterior Mediastinum</b>. Infections here (from thyroid or anterior neck) can track down into the chest.<br><br><b>Option A:</b> The Retropharyngeal space (""Danger Space"") extends into the <i>Posterior</i> Mediastinum."
,,Superior Laryngeal Nerve,,Anatomy,Head & Neck,"A 42-year-old woman undergoes a total thyroidectomy for multinodular goitre. On the first postoperative day she notices that her voice is weak and has a new, high-pitched quality when attempting to sing or speak on higher notes. On laryngoscopic exam the vocal cord mobility is preserved but the patient cannot tense the ipsilateral vocal cord. Which nerve was most likely injured during surgery?",Recurrent laryngeal nerve,Internal branch of the superior laryngeal nerve,External branch of the superior laryngeal nerve (EBSLN),Hypoglossal nerve,Glossopharyngeal nerve,C,"<span style=""color: #2e7d32""><b>Option C Correct</b></span>
 EBSLN supplies the cricothyroid muscle → tenses vocal cord for high pitches; injury → weak, high-pitched voice but preserved mobility (recurrent laryngeal intact).
 
 <b>Option A:</b> Recurrent laryngeal causes cord paralysis/immobility.
 
 <b>Option B:</b> Internal branch of superior laryngeal is sensory to supraglottis → loss would give sensory change, not inability to tense.
 
 <b>Option D:</b> Hypoglossal affects tongue movement.
 
 (Memory: ""external = extra tension → cricothyroid"")."
,,Facial Nerve,,Anatomy,Head & Neck,"A 45-year-old male underwent parotid gland surgery. Postoperatively, he presents with excessive tearing and inability to fully close his eyes on the affected side. Which of the following branches of the facial nerve is likely damaged?",Temporal nerve,Temporal and zygomatic nerve,Buccal and zygomatic nerve,Zygomatic nerve,None,B,"<span style=""color: #2e7d32""><b>Option B Correct</b></span>
 
 The Orbicularis Oculi muscle, responsible for closing the eye (blinking), is innervated by the **Temporal** and **Zygomatic** branches of the Facial Nerve. Paralysis prevents eye closure (Lagophthalmos) and disrupts the lacrimal pump mechanism, causing tears to overflow (Epiphora).
 
 <b>Option C:</b> Buccal supplies the cheek/mouth muscles.
 
 <b>Option A, D:</b> While Temporal and Zygomatic individually contribute, the combined option is most accurate for the full function of the muscle."
,,Cavernous Sinus,,Anatomy,Head & Neck,"A 45-year-old man presents with painful ophthalmoplegia, headache, ptosis, and diplopia. Which of the following findings best confirms cavernous sinus involvement?",Loss of corneal reflex,Visual field defects,Miosis and anhidrosis,Facial muscle paralysis,Loss of taste sensation from anterior 2/3 of tongue,A,"<span style=""color: #2e7d32""><b>Option A Correct</b></span><br>The <b>Cavernous Sinus</b> contains CN III, IV, V1, V2, and VI. <b>Painful Ophthalmoplegia</b> (III, IV, VI) combined with <b>Loss of Corneal Reflex</b> (CN V1 - Ophthalmic nerve) localizes the lesion to the cavernous sinus (or superior orbital fissure).<br><br><b>Option B:</b> Visual field defects suggest Chiasmal/Optic tract lesions."
