Book,Exam,Number,ID,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,Which electrical event on an ECG triggers the activation of the atria?,T wave,QRS complex,P wave,U wave,PR segment,C,"<div style=""text-align: justify""><b><span style=""color:green"">P wave</span></b><br>The P wave represents the depolarization of the atria, which serves as the electrical ""go"" signal for atrial contraction.<br><br><b><span style=""color:red"">T wave</span></b><br>The T wave represents ventricular repolarization, occurring during the relaxation phase of the ventricles.<br><br><b><span style=""color:red"">QRS complex</span></b><br>This complex represents the electrical activation of the ventricles, which follows the P wave.<br><br><b><span style=""color:red"">U wave</span></b><br>A small wave following the T wave, not associated with the primary activation of the atria.<br><br><b><span style=""color:red"">PR segment</span></b><br>This is the delay at the AV node, occurring after the P wave is finished but before the ventricles fire.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>P = ""P""rime the pump (Atria).</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,Activation of the ventricles is identified on an ECG by which component?,P wave,T wave,PR Interval,QRS complex,ST segment,D,"<div style=""text-align: justify""><b><span style=""color:green"">QRS complex</span></b><br>The QRS complex is the rapid electrical discharge through the Purkinje system that initiates ventricular contraction.<br><br><b><span style=""color:red"">P wave</span></b><br>The P wave is exclusively the electrical signature for the atria, not the ventricles.<br><br><b><span style=""color:red"">T wave</span></b><br>This signifies the electrical recovery (repolarization) of the ventricles, not their initial activation.<br><br><b><span style=""color:red"">PR Interval</span></b><br>This measures the time it takes for a signal to travel from the atria to the ventricles, including the delay.<br><br><b><span style=""color:red"">ST segment</span></b><br>This represents the early part of ventricular repolarization, the ""plateau"" where the ventricles remain contracted.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>QRS = ""Q""uick ""R""apid ""S""queeze (Ventricles).</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,The S4 heart sound is most likely to be heard during which phase of the cardiac cycle?,Rapid Filling,Isovolumetric Contraction,Atrial Systole,Rapid Ejection,Isovolumetric Relaxation,C,"<div style=""text-align: justify""><b><span style=""color:green"">Atrial Systole</span></b><br>S4 occurs when the atria contract to push blood into a stiff or non-compliant ventricle, often called the ""atrial gallop.""<br><br><b><span style=""color:red"">Rapid Filling</span></b><br>The S3 heart sound, not S4, is associated with the early, rapid rush of blood into the ventricles.<br><br><b><span style=""color:red"">Isovolumetric Contraction</span></b><br>This phase begins with the S1 sound as the mitral and tricuspid valves slam shut, not the S4 sound.<br><br><b><span style=""color:red"">Rapid Ejection</span></b><br>No normal heart sounds are generated by the opening of valves or the ejection of blood during this phase.<br><br><b><span style=""color:red"">Isovolumetric Relaxation</span></b><br>This phase is marked by the closure of the semilunar valves, which produces the S2 heart sound.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>S4 = Late in Diastole (Atrial kick).</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,"During Isovolumetric Ventricular Contraction, what occurs to the ventricular volume?",It increases rapidly,It decreases rapidly,It remains unchanged,It fluctuates,It reaches zero,C,"<div style=""text-align: justify""><b><span style=""color:green"">It remains unchanged</span></b><br>""Isovolumetric"" means the volume stays the same; all valves are closed while the ventricle builds pressure.<br><br><b><span style=""color:red"">It increases rapidly</span></b><br>Volume only increases during the filling phases when the AV valves are open.<br><br><b><span style=""color:red"">It decreases rapidly</span></b><br>Volume decreases only when the aortic and pulmonic valves open during the ejection phases.<br><br><b><span style=""color:red"">It fluctuates</span></b><br>The volume is locked because all ""doors"" (valves) to the chamber are currently sealed tight.<br><br><b><span style=""color:red"">It reaches zero</span></b><br>The ventricles never fully empty; a significant residual volume remains even after the strongest contraction.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>""Iso"" = Same, ""Volumetric"" = Volume.</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,Which heart sound is produced at the start of Isovolumetric Ventricular Contraction?,S1,S2,S3,S4,Murmur,A,"<div style=""text-align: justify""><b><span style=""color:green"">S1</span></b><br>S1 is the ""lub"" sound caused by the sudden closure of the mitral and tricuspid valves as ventricular pressure rises.<br><br><b><span style=""color:red"">S2</span></b><br>S2 is the ""dub"" sound caused by the closure of the aortic and pulmonic valves at the start of relaxation.<br><br><b><span style=""color:red"">S3</span></b><br>S3 is a low-frequency sound heard during rapid ventricular filling, much later in the cycle.<br><br><b><span style=""color:red"">S4</span></b><br>S4 is heard during atrial systole, just before S1, as the atria provide their final ""kick.""<br><br><b><span style=""color:red"">Murmur</span></b><br>A murmur is a sound of turbulent flow, not a standard discrete heart sound marking a phase transition.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>S1 = Start of Systole.</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,What event characterizes the Rapid Ventricular Ejection phase?,Closure of mitral valve,Aortic valve opens,S2 is produced,Incisura appears,Ventricular filling begins,B,"<div style=""text-align: justify""><b><span style=""color:green"">Aortic valve opens</span></b><br>When ventricular pressure exceeds aortic pressure, the valve flings open, allowing the bulk of the stroke volume to exit.<br><br><b><span style=""color:red"">Closure of mitral valve</span></b><br>The mitral valve closes earlier, at the beginning of isovolumetric contraction, to prevent backflow into the atria.<br><br><b><span style=""color:red"">S2 is produced</span></b><br>S2 occurs at the *end* of ejection when the aortic valve snaps shut, not during the ejection itself.<br><br><b><span style=""color:red"">Incisura appears</span></b><br>The incisura is a pressure dip seen during the relaxation phase, not during the rapid ejection of blood.<br><br><b><span style=""color:red"">Ventricular filling begins</span></b><br>Filling occurs during diastole, whereas ejection is the core event of ventricular systole.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Rapid Ejection = Maximum ""Exit"" through the Aortic Valve.</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,During which phase is the S2 heart sound produced?,Atrial Systole,Rapid Ventricular Filling,Isovolumetric Ventricular Relaxation,Reduced Ventricular Filling,Isovolumetric Ventricular Contraction,C,"<div style=""text-align: justify""><b><span style=""color:green"">Isovolumetric Ventricular Relaxation</span></b><br>S2 marks the beginning of diastole as the aortic and pulmonic valves close to prevent blood from flowing back into the heart.<br><br><b><span style=""color:red"">Atrial Systole</span></b><br>This phase is associated with S4, which occurs near the end of the entire cycle.<br><br><b><span style=""color:red"">Rapid Ventricular Filling</span></b><br>This phase is associated with S3, produced by the vibration of the ventricular walls as they fill.<br><br><b><span style=""color:red"">Reduced Ventricular Filling</span></b><br>This is a quiet phase of passive blood flow where no distinct heart sounds are generated.<br><br><b><span style=""color:red"">Isovolumetric Ventricular Contraction</span></b><br>This phase is characterized by S1, marking the start of systole, not the start of relaxation.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>S2 = Start of Diastole (Dub).</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,Physiological splitting of the second heart sound (S2) is caused by which mechanism during inspiration?,Early closure of the mitral valve,Delayed closure of the pulmonic valve,Rapid atrial contraction,Inversion of the T wave,Closing of the tricuspid valve,B,"<div style=""text-align: justify""><b><span style=""color:green"">Delayed closure of the pulmonic valve</span></b><br>Inspiration increases venous return to the right heart, prolonging the ejection time and delaying the pulmonic valve closure.<br><br><b><span style=""color:red"">Early closure of the mitral valve</span></b><br>The mitral valve closure contributes to S1, not S2, and is not the cause of S2 splitting.<br><br><b><span style=""color:red"">Rapid atrial contraction</span></b><br>Atrial contraction occurs before S1 and does not influence the timing of the semilunar valves at S2.<br><br><b><span style=""color:red"">Inversion of the T wave</span></b><br>T wave changes are electrical markers of ischemia or electrolyte imbalance and do not physically cause valve splitting.<br><br><b><span style=""color:red"">Closing of the tricuspid valve</span></b><br>Tricuspid closure is part of the S1 sound and occurs at the start of ventricular contraction.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Inspiration = Increase in right heart volume = Delayed Pulmonic ""Dub.""</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,Which heart sound is specifically associated with the Rapid Ventricular Filling phase?,S1,S2,S3,S4,Ejection click,C,"<div style=""text-align: justify""><b><span style=""color:green"">S3</span></b><br>S3 is caused by the rapid in-rush of blood hitting the ventricular walls; it is often normal in children but pathological in older adults.<br><br><b><span style=""color:red"">S1</span></b><br>S1 occurs at the onset of systole when the AV valves close, long before the filling phase begins.<br><br><b><span style=""color:red"">S2</span></b><br>S2 occurs when the semilunar valves close at the start of relaxation, before the AV valves have opened for filling.<br><br><b><span style=""color:red"">S4</span></b><br>S4 occurs during the ""atrial kick"" at the very end of diastole, following the rapid filling phase.<br><br><b><span style=""color:red"">Ejection click</span></b><br>An ejection click is an abnormal sound associated with diseased semilunar valves opening, not passive ventricular filling.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>S3 = ""3""rd phase of Diastole (Early rapid fill).</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,Which phase of the cardiac cycle is the longest in duration?,Atrial Systole,Isovolumetric Contraction,Rapid Ventricular Ejection,Reduced Ventricular Filling,Isovolumetric Relaxation,D,"<div style=""text-align: justify""><b><span style=""color:green"">Reduced Ventricular Filling</span></b><br>Also known as diastasis, this is the longest phase where blood flows slowly and passively from the atria to the ventricles.<br><br><b><span style=""color:red"">Atrial Systole</span></b><br>Atrial contraction is a brief, active event that accounts for a small percentage of the total cycle time.<br><br><b><span style=""color:red"">Isovolumetric Contraction</span></b><br>This is a very short phase lasting only milliseconds until the ventricular pressure exceeds arterial pressure.<br><br><b><span style=""color:red"">Rapid Ventricular Ejection</span></b><br>While powerful, this phase is much shorter than the passive filling phase of diastole.<br><br><b><span style=""color:red"">Isovolumetric Relaxation</span></b><br>This is a brief transitional phase where all valves are closed before the next filling cycle starts.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Reduced Filling = ""R""est and wait (Longest).</center></div>"
,,,,Cardiovascular Physiology (BRS),Cardiac Cycle,During which specific phase is the majority of the stroke volume ejected from the heart?,Atrial Systole,Isovolumetric Contraction,Rapid Ventricular Ejection,Reduced Ventricular Ejection,Rapid Ventricular Filling,C,"<div style=""text-align: justify""><b><span style=""color:green"">Rapid Ventricular Ejection</span></b><br>Approximately 70% of the total stroke volume is pumped out during this initial, high-pressure burst after the aortic valve opens.<br><br><b><span style=""color:red"">Atrial Systole</span></b><br>This phase contributes only about 20-30% of ventricular *filling*, it has nothing to do with ejection of stroke volume.<br><br><b><span style=""color:red"">Isovolumetric Contraction</span></b><br>Zero stroke volume is ejected during this phase because all valves are closed while pressure builds.<br><br><b><span style=""color:red"">Reduced Ventricular Ejection</span></b><br>While some blood continues to leave the heart, the majority has already been ejected during the rapid phase.<br><br><b><span style=""color:red"">Rapid Ventricular Filling</span></b><br>This is a phase of diastole where blood is entering the heart, not being ejected out of it.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>""Rapid"" Ejection = ""Rapid"" volume loss.</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,Which mechanism provides the fastest response for the regulation of arterial pressure?,RAAS Mechanism,ADH Secretion,Baroreceptor Reflex,Atrial Natriuretic Peptide,Chemoreceptor Reflex,C,"<div style=""text-align: justify""><b><span style=""color:green"">Baroreceptor Reflex</span></b><br>The baroreceptor reflex is a neurally mediated response that can adjust heart rate and vascular tone within seconds of a pressure change.<br><br><b><span style=""color:red"">RAAS Mechanism</span></b><br>While powerful, the RAAS pathway is a hormonal system that requires minutes to hours to fully impact blood pressure.<br><br><b><span style=""color:red"">ADH Secretion</span></b><br>Antidiuretic hormone primarily regulates water balance in the kidneys, representing a slower, volume-based control system.<br><br><b><span style=""color:red"">Atrial Natriuretic Peptide</span></b><br>ANP is released in response to high atrial pressure but acts slowly through the kidneys to reduce total blood volume.<br><br><b><span style=""color:red"">Chemoreceptor Reflex</span></b><br>Chemoreceptors primarily respond to changes in oxygen and CO2 levels; they are not the primary ""fast"" regulator of routine arterial pressure.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Baroreceptors are ""B""risk (Fast).</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,Where is the specific anatomical site of the carotid sinus baroreceptors?,Aortic arch,Brain stem,Near the bifurcation of common carotid arteries,Left ventricle wall,Superior vena cava,C,"<div style=""text-align: justify""><b><span style=""color:green"">Near the bifurcation of common carotid arteries</span></b><br>This strategic location allows the body to monitor the pressure of blood traveling directly toward the brain.<br><br><b><span style=""color:red"">Aortic arch</span></b><br>The aortic arch contains a separate set of baroreceptors that specifically monitor systemic output rather than brain-directed flow.<br><br><b><span style=""color:red"">Brain stem</span></b><br>The brain stem houses the vasomotor center which processes the signals, but it does not contain the sensors (receptors) themselves.<br><br><b><span style=""color:red"">Left ventricle wall</span></b><br>While the ventricle has sensory fibers, the primary sensors for the high-pressure baroreceptor reflex are located in the arteries.<br><br><b><span style=""color:red"">Superior vena cava</span></b><br>The vena cava contains low-pressure stretch receptors, not the high-pressure baroreceptors described in the carotid sinus.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Carotid = ""C""lose to the ""C""erebrum (Brain) flow.</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,Which pressure change triggers the most sensitive response from the baroreceptor reflexes?,Increase in BP,Maintenance of BP,Decrease in BP,Pulse pressure stabilization,Systolic peak only,C,"<div style=""text-align: justify""><b><span style=""color:green"">Decrease in BP</span></b><br>The reflex is most finely tuned to detect a drop in pressure, as this poses an immediate threat to vital organ perfusion.<br><br><b><span style=""color:red"">Increase in BP</span></b><br>While baroreceptors do respond to increases, the sensitivity of the compensatory reflex is highest when detecting a deficit in pressure.<br><br><b><span style=""color:red"">Maintenance of BP</span></b><br>If blood pressure is stable at the set point, the baroreceptors fire at a tonic rate and no active reflex compensation is triggered.<br><br><b><span style=""color:red"">Pulse pressure stabilization</span></b><br>The reflex reacts to changes in pulse pressure, but the most clinically sensitive trigger is a drop in the Mean Arterial Pressure.<br><br><b><span style=""color:red"">Systolic peak only</span></b><br>Baroreceptors respond to the stretch of the vessel wall throughout the cardiac cycle, not just at the systolic peak.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>The body ""Panics"" (Sensitive) when pressure goes ""Down.""</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,The baroreceptors in the aortic arch are primarily responsive to which stimulus?,Decrease in BP,Increase in BP,Changes in CO2 levels,Changes in blood pH,Decreased heart rate,B,"<div style=""text-align: justify""><b><span style=""color:green"">Increase in BP</span></b><br>Aortic arch baroreceptors are primarily calibrated to respond to increases in systemic blood pressure, sending signals via the Vagus nerve.<br><br><b><span style=""color:red"">Decrease in BP</span></b><br>While they can detect drops, their primary physiological role in this context is damping hypertensive surges from the heart.<br><br><b><span style=""color:red"">Changes in CO2 levels</span></b><br>This stimulus targets peripheral chemoreceptors (carotid and aortic bodies), not the mechanical baroreceptors.<br><br><b><span style=""color:red"">Changes in blood pH</span></b><br>pH sensitivity is a function of chemical sensors, whereas baroreceptors are mechanical stretch sensors.<br><br><b><span style=""color:red"">Decreased heart rate</span></b><br>Baroreceptors respond to the resulting pressure of the heart's work, but heart rate is the *output* of the reflex, not the trigger.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Aortic Arch = ""A""rch reacts to ""A""scending (Increased) pressure.</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,What is the normal set point for Mean Arterial Pressure (MAP) monitored by the reflex?,70 mmHg,80 mmHg,100 mmHg,120 mmHg,140 mmHg,C,"<div style=""text-align: justify""><b><span style=""color:green"">100 mmHg</span></b><br>The vasomotor center uses 100 mmHg as the physiological baseline; deviations from this value trigger the reflex arc.<br><br><b><span style=""color:red"">70 mmHg</span></b><br>A MAP of 70 is often the minimum for organ perfusion, but it is below the normal homeostatic set point.<br><br><b><span style=""color:red"">80 mmHg</span></b><br>This is a common diastolic value, but it is lower than the weighted average (MAP) the body seeks to maintain.<br><br><b><span style=""color:red"">120 mmHg</span></b><br>120 is the standard systolic pressure, but the Mean Arterial Pressure set point is lower, typically around 100 mmHg.<br><br><b><span style=""color:red"">140 mmHg</span></b><br>This value represents the clinical threshold for hypertension and is significantly higher than the healthy set point.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>A ""Perfect Score"" for the MAP set point is 100.</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,"Where is the vasomotor center, responsible for coordinating the BP reflex response, located?",Hypothalamus,Cerebellum,Brain stem,Thalamus,Adrenal Medulla,C,"<div style=""text-align: justify""><b><span style=""color:green"">Brain stem</span></b><br>The medulla within the brain stem integrates sensory input from baroreceptors and coordinates the autonomic output.<br><br><b><span style=""color:red"">Hypothalamus</span></b><br>The hypothalamus regulates long-term homeostasis and temperature, but the immediate vasomotor reflex is brainstem-mediated.<br><br><b><span style=""color:red"">Cerebellum</span></b><br>The cerebellum is responsible for motor coordination and balance, not the involuntary regulation of blood pressure.<br><br><b><span style=""color:red"">Thalamus</span></b><br>The thalamus is a sensory relay station for conscious perception; autonomic reflexes like this are handled in the ""lower"" brain stem.<br><br><b><span style=""color:red"">Adrenal Medulla</span></b><br>The adrenal medulla releases epinephrine as part of the sympathetic response, but it does not serve as the control center.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Vasomotor = ""V""ital controls are in the ""B""ase (Stem).</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,"In response to a decrease in BP, how does the vasomotor center adjust autonomic outflow?",Increases parasympathetic and increases sympathetic,Decreases parasympathetic and decreases sympathetic,Decreases parasympathetic and increases sympathetic,Increases parasympathetic and decreases sympathetic,Outflow remains unchanged,C,"<div style=""text-align: justify""><b><span style=""color:green"">Decreases parasympathetic and increases sympathetic</span></b><br>To raise BP, the body removes the ""brakes"" (vagal/parasympathetic) and hits the ""gas"" (sympathetic).<br><br><b><span style=""color:red"">Increases parasympathetic and increases sympathetic</span></b><br>These two systems generally work in opposition; increasing both would produce a conflicted and inefficient response.<br><br><b><span style=""color:red"">Decreases parasympathetic and decreases sympathetic</span></b><br>Decreasing both would lead to an autonomic failure, preventing any compensatory rise in blood pressure.<br><br><b><span style=""color:red"">Increases parasympathetic and decreases sympathetic</span></b><br>This is the response to an *increase* in BP, intended to slow the heart and lower pressure.<br><br><b><span style=""color:red"">Outflow remains unchanged</span></b><br>A lack of change would mean the reflex has failed to respond to the hemodynamic threat.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Lower BP? Drop the ""P"" (Parasympathetic) and Raise the ""S"" (Sympathetic).</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,Which of the following results from increased sympathetic outflow during the pressure reflex?,Decrease in heart rate,Decrease in contractility,Vasoconstriction,Reduced stroke volume,Vasodilation,C,"<div style=""text-align: justify""><b><span style=""color:green"">Vasoconstriction</span></b><br>Sympathetic nerves release norepinephrine which acts on alpha-1 receptors to narrow vessels and increase systemic resistance.<br><br><b><span style=""color:red"">Decrease in heart rate</span></b><br>Sympathetic stimulation increases heart rate via beta-1 receptors to help restore cardiac output.<br><br><b><span style=""color:red"">Decrease in contractility</span></b><br>Sympathetic activity strengthens the squeeze of the heart (increased contractility) to move more blood.<br><br><b><span style=""color:red"">Reduced stroke volume</span></b><br>The goal of the reflex is to increase stroke volume through higher contractility and venous return.<br><br><b><span style=""color:red"">Vasodilation</span></b><br>Vasodilation would lower the blood pressure further, which is the opposite of the reflex's compensatory goal.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Sympathetic = ""S""queeze (Vasoconstriction) and ""S""peed (Heart Rate).</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,Which component of the RAAS pathway is the physiologically active vasoconstrictor?,Renin,Angiotensinogen,Angiotensin-II,Aldosterone,Angiotensin-I,C,"<div style=""text-align: justify""><b><span style=""color:green"">Angiotensin-II</span></b><br>Angiotensin-II is the primary effector molecule that causes direct vasoconstriction and triggers further hormonal release.<br><br><b><span style=""color:red"">Renin</span></b><br>Renin is an enzyme released by the kidney that initiates the pathway; it is not a vasoconstrictor itself.<br><br><b><span style=""color:red"">Angiotensinogen</span></b><br>This is an inactive precursor protein produced by the liver that circulates in the blood waiting for renin.<br><br><b><span style=""color:red"">Aldosterone</span></b><br>Aldosterone is a hormone that regulates sodium and water but does not cause immediate, direct vasoconstriction.<br><br><b><span style=""color:red"">Angiotensin-I</span></b><br>Angiotensin-I is a decapeptide that has very little physiological activity until it is converted by ACE.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Angiotensin-""II"" is the ""Active"" one.</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,What is the primary renal effect of Aldosterone secretion?,Decreases Na+ reabsorption,Increases Na+ reabsorption,Increases K+ reabsorption,Decreases water reabsorption,Inhibits Thirst,B,"<div style=""text-align: justify""><b><span style=""color:green"">Increases Na+ reabsorption</span></b><br>Aldosterone acts on the distal tubules to pull sodium back into the blood, which water then follows to increase volume.<br><br><b><span style=""color:red"">Decreases Na+ reabsorption</span></b><br>Decreasing reabsorption would lead to salt wasting and lower BP, the opposite of the RAAS goal.<br><br><b><span style=""color:red"">Increases K+ reabsorption</span></b><br>Aldosterone actually causes the secretion (loss) of potassium into the urine in exchange for sodium.<br><br><b><span style=""color:red"">Decreases water reabsorption</span></b><br>The primary goal of aldosterone is to expand volume; thus, it indirectly increases water reabsorption via sodium.<br><br><b><span style=""color:red"">Inhibits Thirst</span></b><br>The RAAS system, specifically Angiotensin-II, stimulates thirst to help increase total body water.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>""Al""dosterone ""A""dds ""S""odium.</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,In which part of the renal tubule does Angiotensin-II stimulate Na-H exchange?,Descending limb of Loop of Henle,Distal Convoluted Tubule,Proximal Convoluted Tubule (PCT),Collecting Duct,Ascending limb of Loop of Henle,C,"<div style=""text-align: justify""><b><span style=""color:green"">Proximal Convoluted Tubule (PCT)</span></b><br>Angiotensin-II acts directly on the PCT to enhance sodium reabsorption via the Na-H exchanger.<br><br><b><span style=""color:red"">Descending limb of Loop of Henle</span></b><br>This segment is primarily involved in water reabsorption and does not have the Na-H exchange activity stimulated by Ang-II.<br><br><b><span style=""color:red"">Distal Convoluted Tubule</span></b><br>The distal tubule is primarily the site for aldosterone-mediated sodium transport, not the direct Na-H effect of Ang-II.<br><br><b><span style=""color:red"">Collecting Duct</span></b><br>The collecting duct responds to ADH and Aldosterone but is not the primary site for the Ang-II Na-H exchange.<br><br><b><span style=""color:red"">Ascending limb of Loop of Henle</span></b><br>While sodium is reabsorbed here, the specific Na-H exchange mechanism targeted by Ang-II is located in the PCT.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Ang-II = ""P""owerful ""P""roximal action.</center></div>"
,,,,Cardiovascular Physiology (BRS),Regulation of Arterial Pressure,Where is Angiotensin-Converting Enzyme (ACE) primarily located in the body?,Adrenal Cortex,Liver,Lungs,Kidneys,Brain stem,C,"<div style=""text-align: justify""><b><span style=""color:green"">Lungs</span></b><br>While found in other tissues, the pulmonary vascular endothelium is the primary site where Ang-I is converted to the active Ang-II.<br><br><b><span style=""color:red"">Adrenal Cortex</span></b><br>The adrenal cortex is the *target* for Angiotensin-II (to release aldosterone), not the site of its synthesis via ACE.<br><br><b><span style=""color:red"">Liver</span></b><br>The liver produces the precursor Angiotensinogen, but the conversion to the active form occurs in the lungs.<br><br><b><span style=""color:red"">Kidneys</span></b><br>The kidneys release renin to start the process, but the final conversion by ACE occurs primarily in the lung capillaries.<br><br><b><span style=""color:red"">Brain stem</span></b><br>The brain stem regulates autonomic output but does not serve as the primary site for the systemic chemical conversion of Angiotensin.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>ACE is in the ""Air"" (Lungs).</center></div>"
,,,,Cardiovascular Physiology (BRS),Special Circulation,"Which physiological process allows organs like the heart, brain, and kidneys to maintain constant blood flow despite changes in arterial pressure?",Reactive Hyperemia,Systemic Vasoconstriction,Autoregulation,Vagal Escape,Orthostatic Hypotension,C,"<div style=""text-align: justify""><b><span style=""color:green"">Autoregulation</span></b><br>Autoregulation is the intrinsic ability of vital organs to adjust their vascular resistance to keep blood flow stable across a range of systemic pressures.<br><br><b><span style=""color:red"">Reactive Hyperemia</span></b><br>This describes a transient increase in blood flow following the removal of a temporary occlusion, rather than steady-state pressure regulation.<br><br><b><span style=""color:red"">Systemic Vasoconstriction</span></b><br>This is a body-wide response to raise blood pressure, which would generally oppose the local needs of an autoregulating organ.<br><br><b><span style=""color:red"">Vagal Escape</span></b><br>Vagal escape refers to the heart resuming its beat despite continuous vagus nerve stimulation, unrelated to local blood flow control.<br><br><b><span style=""color:red"">Orthostatic Hypotension</span></b><br>This is a failure of pressure regulation when standing up, resulting in a drop in blood flow to the brain, not a control mechanism.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>""Auto"" = Self. These organs ""Self-regulate"" their own flow.</center></div>"
,,,,Cardiovascular Physiology (BRS),Special Circulation,What term describes the increase in blood flow to skeletal muscle that occurs in direct response to increased metabolic activity?,Passive Congestion,Active Hyperemia,Auto-infusion,Ischemic Preconditioning,Capillary Refill,B,"<div style=""text-align: justify""><b><span style=""color:green"">Active Hyperemia</span></b><br>When muscles work, they produce metabolites like CO2 and lactate that trigger local vasodilation to ""match"" blood supply to the high metabolic demand.<br><br><b><span style=""color:red"">Passive Congestion</span></b><br>This occurs when blood backs up in a tissue due to poor venous drainage, which is a pathological state unlike active hyperemia.<br><br><b><span style=""color:red"">Auto-infusion</span></b><br>This is not a standard physiological term for metabolic-driven blood flow increases in skeletal muscle.<br><br><b><span style=""color:red"">Ischemic Preconditioning</span></b><br>This refers to brief periods of non-lethal ischemia that protect tissues from future injury, not the flow increase during exercise.<br><br><b><span style=""color:red"">Capillary Refill</span></b><br>This is a clinical test to assess peripheral perfusion by observing how quickly blood returns to blanched skin, not a flow regulation mechanism.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>""Active"" muscle gets ""Active"" flow.</center></div>"
,,,,Cardiovascular Physiology (BRS),Special Circulation,What is the combined vascular effect of Histamine on the microcirculation?,Dilation of both arterioles and veins,Constriction of both arterioles and veins,Dilation of arterioles and constriction of veins,Constriction of arterioles and dilation of veins,No effect on vascular smooth muscle,C,"<div style=""text-align: justify""><b><span style=""color:green"">Dilation of arterioles and constriction of veins</span></b><br>Histamine opens the ""inlet"" (arterioles) and narrows the ""outlet"" (veins), significantly increasing capillary hydrostatic pressure and leading to edema.<br><br><b><span style=""color:red"">Dilation of both arterioles and veins</span></b><br>While histamine is a potent vasodilator, its specific effect on venous vessels in this context is actually constrictive.<br><br><b><span style=""color:red"">Constriction of both arterioles and veins</span></b><br>This would lead to restricted flow and pale tissue, whereas histamine typically causes redness and swelling via dilation.<br><br><b><span style=""color:red"">Constriction of arterioles and dilation of veins</span></b><br>This would lower capillary pressure; histamine acts in the opposite way to facilitate the inflammatory response.<br><br><b><span style=""color:red"">No effect on vascular smooth muscle</span></b><br>Histamine is one of the most powerful vasoactive substances in the body and has profound effects on vessel diameter.<br><br><center><b><span style=""color:goldenrod"">💡 Tip</span></b><br>Histamine = ""H""igh ""I""nlet (Dilate) and ""S""topped ""T""ail (Constrict veins).</center></div>"
